ID,CREATE_TIME,CREATE_USER,CREATE_USERIP,DELETED,UPDATE_TIME,UPDATE_USER,UPDATE_USERIP,VERSION,AUTO_ID,BILLING_CONTRACT_ID,CONTRACT_STATUS,END_DATE,START_DATE,SUIT_PACKAGE_DEFINITION,CUSTOMER_ID,MIG_STATUS,MIG_DATE
WK891146-78EE-3B1R-YG5I-IM9FG10LT3RC,2025-05-26 16:28:45,MAYA.FCMX,54.68.17.193,0,2025-05-26 16:28:47,MAYA.FCMX,182.170.240.97,1,9637299577,371494221,ACTIVE,,2025-05-26 16:28:45,,R06916OL-242E-6OK1-53F5-88O1Y3421315,,
O3F7M10U-ZH2N-7I37-64XX-R5550J420HJJ,2025-05-26 16:46:13,MAYA.FCMX,54.68.17.193,0,2025-06-12 11:48:36,MAYA.FCMX,182.170.240.97,2,0196971057,458193793,PASSIVE,,2025-05-26 16:46:12,,R06916OL-242E-6OK1-53F5-88O1Y3421315,,
71A4I813-8X9V-24IM-190E-N8204242Z063,2025-05-27 09:20:50,MAYA.FCMX,54.68.17.193,0,2025-05-30 13:29:10,MAYA.FCMX,182.170.240.97,1,5165981127,364038561,ACTIVE,,2025-05-27 09:20:45,,6B8628O4-5K4L-58DQ-U84V-HWCF9AM14677,,
5837M74T-B6YS-3T56-YK5K-Q2133H4P5TC5,2025-05-27 09:52:06,MAYA.FCMX,54.68.17.193,0,2025-05-27 09:52:10,MAYA.FCMX,182.170.240.97,1,1518529617,463303622,ACTIVE,,2025-05-27 09:52:05,,OJE5XYY0-1B97-0B8G-0898-9V5QN507T7W5,,
699WA117-028T-24V7-3C05-1W0T214705KC,2025-05-27 13:54:32,MAYA.FCMX,54.68.17.193,0,2025-05-27 13:54:40,MAYA.FCMX,182.170.240.97,1,3871042134,188671213,ACTIVE,,2025-05-27 13:54:31,,3P86U98S-62I5-66Z1-Z88V-09B067N33Y47,,
946WC286-6HA1-7CG5-Z137-2J0768Y69742,2025-05-27 14:46:13,MAYA.FCMX,54.68.17.193,0,2025-05-27 14:46:18,MAYA.FCMX,182.170.240.97,1,5132207449,413446589,ACTIVE,,2025-05-27 14:46:10,,49G5D1U9-32JG-1M78-WS63-P2O01J6554I8,,
N4P7G28Y-002E-2433-0Y53-C74494TQG4Q2,2025-05-27 14:57:56,MAYA.FCMX,54.68.17.193,0,2025-05-27 14:58:01,MAYA.FCMX,182.170.240.97,1,5502393581,401712554,ACTIVE,,2025-05-27 14:57:56,,3P86U98S-62I5-66Z1-Z88V-09B067N33Y47,,
YQC33L96-JZ6O-1AXC-8V88-Z2JOEAC957P9,2025-05-27 15:32:37,SYSTEM,182.170.240.97,0,2025-06-23 15:27:23,SYSTEM,182.170.240.97,1,2996567030,107491176,ACTIVE,,2025-05-27 15:32:36,,697I1Q6X-DCKO-4AKJ-94BX-45T4BVL251X8,,
33M241NE-35C2-6004-6205-S1HT65VHN588,2025-05-28 12:03:24,MAYA.FCMX,54.68.17.193,0,2025-05-28 12:03:27,MAYA.FCMX,182.170.240.97,1,1505893980,332683361,ACTIVE,,2025-05-28 12:03:23,,OJE5XYY0-1B97-0B8G-0898-9V5QN507T7W5,,
54Y44E56-9Q79-0Q01-SJK4-72S8C67C527Z,2025-05-28 16:17:05,MAYA.FCMX,54.68.17.193,0,2025-05-28 16:17:12,MAYA.FCMX,182.170.240.97,1,8086832323,863088322,ACTIVE,,2025-05-28 16:17:01,,5PXIML85-22N6-9WP0-5Y37-2FG79797N486,,
9A2L1569-7120-323P-I1MX-AK3P9KE3825B,2025-05-28 18:55:18,MAYA.FCMX,54.68.17.193,0,2025-05-28 18:55:21,MAYA.FCMX,182.170.240.97,1,2954649191,842719149,ACTIVE,,2025-05-28 18:55:18,,3P86U98S-62I5-66Z1-Z88V-09B067N33Y47,,
8J6AAZYL-1X1O-7AP5-42RK-U25Q1L9G386S,2025-05-28 19:23:07,MAYA.FCMX,54.68.17.193,0,2025-05-28 19:23:10,MAYA.FCMX,182.170.240.97,1,1689268513,026518503,ACTIVE,,2025-05-28 19:23:07,,F20TK4YW-5P67-97GK-230L-T6X0X02Z607X,,
9XT29W13-LY51-8HN8-Y9TJ-M9046I072411,2025-05-28 22:31:24,MAYA.FCMX,182.170.240.97,0,2025-05-28 22:31:33,MAYA.FCMX,182.170.240.97,1,4800774967,850829137,ACTIVE,,2025-05-28 22:31:10,,LF58UD09-NTC4-2BK9-UOR8-HA5IS120J2BM,,
552140G6-33VL-52G4-N9G3-YP646SO50873,2025-05-29 07:14:43,MAYA.FCMX,54.68.17.193,0,2025-05-29 07:14:43,MAYA.FCMX,54.68.17.193,0,0806790599,850459137,ACTIVE,,2025-05-29 07:14:41,,5PXIML85-22N6-9WP0-5Y37-2FG79797N486,,
PKMX0708-0161-6LZX-48T5-XY070L4315E9,2025-05-29 10:23:53,MAYA.FCMX,54.68.17.193,0,2025-05-29 11:14:49,MAYA.FCMX,182.170.240.97,1,6339049865,216647318,ACTIVE,,2025-05-29 10:23:48,,13401YL7-YR56-466E-T54H-J4024F9861S6,,
V5F76K51-4P10-497A-PA5I-17ACWZ29LL41,2025-05-29 11:10:15,MAYA.FCMX,54.68.17.193,0,2025-05-29 11:14:50,MAYA.FCMX,182.170.240.97,1,6767071995,985246196,ACTIVE,,2025-05-29 11:10:14,,5PXIML85-22N6-9WP0-5Y37-2FG79797N486,,
3O4E44H1-B739-3S86-S244-458093159AP9,2025-05-29 15:37:48,MAYA.FCMX,54.68.17.193,0,2025-05-29 15:37:54,MAYA.FCMX,182.170.240.97,1,4243063800,057290297,ACTIVE,,2025-05-29 15:37:47,,1P8L7103-4UEA-15PD-C756-5T3725I667Z1,,
7386C50G-J7B3-19WM-RA38-63F182EQCWK8,2025-05-30 11:49:01,SYSTEM,182.170.240.97,0,2025-06-30 11:56:04,SYSTEM,182.170.240.97,2,3272734005,926368013,PASSIVE,,2025-05-30 11:49:01,,6B681S67-X71O-6944-5724-DE2YY5NP4S26,,
F9I98830-2302-45XA-R717-P4P032VFH1BU,2025-05-30 13:26:05,MAYA.FCMX,182.170.240.97,0,2025-05-30 13:26:09,MAYA.FCMX,182.170.240.97,1,3252231296,026531807,ACTIVE,,2025-05-30 13:25:59,,6B8628O4-5K4L-58DQ-U84V-HWCF9AM14677,,
7FXS1IGS-GK23-5220-C5N5-4497Q314H036,2025-05-30 13:48:15,MAYA.FCMX,182.170.240.97,0,2025-05-30 13:48:17,MAYA.FCMX,182.170.240.97,1,5776312746,132896020,ACTIVE,,2025-05-30 13:48:12,,5LXH08F1-9GJ6-74OT-8QPL-Z1371L192J8Z,,
4EI3Q68X-KF1K-3XU0-84X4-ZE904F56B3J2,2025-05-30 13:58:55,MAYA.FCMX,182.170.240.97,0,2025-05-30 13:58:58,MAYA.FCMX,182.170.240.97,1,1229630950,677466961,ACTIVE,,2025-05-30 13:58:52,,5LXH08F1-9GJ6-74OT-8QPL-Z1371L192J8Z,,
WDSX213C-2304-8983-082J-7A98748F061H,2025-05-30 14:58:20,MAYA.FCMX,182.170.240.97,0,2025-05-30 14:58:40,MAYA.FCMX,182.170.240.97,1,5478340224,303763928,ACTIVE,,2025-05-30 14:58:13,,6B8628O4-5K4L-58DQ-U84V-HWCF9AM14677,,
3W4ZX71Z-160X-982T-53Q9-30IY2Y130M15,2025-05-30 15:25:46,MAYA.FCMX,182.170.240.97,0,2025-05-30 15:25:51,MAYA.FCMX,182.170.240.97,1,4346394638,996767795,ACTIVE,,2025-05-30 15:25:45,,03821551-29HJ-47A4-3T03-X4Q568OB14MA,,
7Q5F2B83-8A5D-3L3T-H6Z5-EGD5046ICROG,2025-06-02 09:03:48,MAYA.FCMX,182.170.240.97,0,2025-06-02 09:04:02,MAYA.FCMX,182.170.240.97,1,8211903265,026871930,ACTIVE,,2025-06-02 09:03:47,,12263AX6-R861-9672-0A7K-L4N764AF41XK,,
Z095NY74-7659-4789-A9P8-28803L388Z07,2025-06-02 15:12:33,SINGLEHUB,182.170.240.97,0,2025-06-02 15:13:15,SINGLEHUB,182.170.240.97,1,7937909349,385357927,ACTIVE,,2025-06-02 15:12:32,,O8XG599P-304J-91O5-4711-9AOC03673ZR2,,
S0A364XB-YB00-8V8L-09X5-48SIU4O9M0Y1,2025-06-02 15:14:48,SINGLEHUB,182.170.240.97,0,2025-06-02 15:14:54,SINGLEHUB,182.170.240.97,1,7993216344,952944298,ACTIVE,,2025-06-02 15:14:48,,O8XG599P-304J-91O5-4711-9AOC03673ZR2,,
316463FS-NR77-2D98-Q681-W11SC6K88133,2025-06-02 15:27:56,SINGLEHUB,182.170.240.97,0,2025-06-17 11:51:23,SINGLEHUB,182.170.240.97,2,0891140437,551626786,PASSIVE,,2025-06-02 15:27:56,,Q27BF5S9-G58S-0S13-JUQL-Q8L7Q04T53JC,,
27X0M096-2L6B-4V1C-EVB8-TS6K1U30953P,2025-06-03 09:12:17,MAYA.FCMX,182.170.240.97,0,2025-06-03 09:12:21,MAYA.FCMX,182.170.240.97,1,1086579545,191219412,ACTIVE,,2025-06-03 09:12:14,,FAX6ZIR4-CG5A-7I3E-4P77-M408D1DXU5JG,,
8R86331L-7QIZ-24J9-6747-G25058K9ZNE0,2025-06-03 15:50:13,SYSTEM,182.170.240.97,0,2025-06-03 15:50:13,SYSTEM,182.170.240.97,0,8928311751,878829137,ACTIVE,,2025-06-03 15:50:08,,5R13M56P-ZVAJ-2885-B9VF-ZMT377882E95,,
N4W4O5IM-2RH4-630P-3235-8W38036N3113,2025-06-03 17:08:08,MAYA.FCMX,182.170.240.97,0,2025-06-03 17:08:12,MAYA.FCMX,182.170.240.97,1,6088818517,632600955,ACTIVE,,2025-06-03 17:08:06,,12263AX6-R861-9672-0A7K-L4N764AF41XK,,
20I94620-7F8S-070D-6TI4-195ZYYPW7DA7,2025-06-04 15:22:46,SYSTEM,182.170.240.97,0,2025-06-04 15:22:46,SYSTEM,182.170.240.97,0,5906551920,850829175,ACTIVE,,2025-06-04 15:22:45,,5R13M56P-ZVAJ-2885-B9VF-ZMT377882E95,,
