BILLING_CODE,BILLING_DESCRIPTION,END_DATE,PLSLN_SUIT,START_DATE,ID,BUNDLE_OFFER_GROUP_ID,BUNDLE_PRODUCT_ID,MIG_STATUS,MIG_DATE,DOWNGRADE_START_DATE,BUNDLE_OFFER_CAMPAIGN_ID,CAMPAIGN_CATEGORY_ID,DISABLE_UNDO_CAMPAIGN_CHANGE,IS_BRAND_MODEL_BASED_BUNDLE,IS_MIN_USAGE_EXEMPTED,COMMIT_TRANS_ON_PROD_CHANGE,IS_INFRASTRUCTURE_BASED,CMPGN_CHANGE_END_OF_COMMITMENT,PRIORITY,PROMOCODE_OFFER_CODE,EXTRAJET_URL,UNDO_AVAILABILITY,COMMITMENT_CHECK_DAY,BTK_REP_NEEDED,SOLNET_URL,CAMPAIGN_CRITERIA_TEXT,IS_REFURBISHED_MODEM_CAMPAIGN
67147,2012 SOL Çalışan Kampanyası,2016-05-01 00:00:00,NO,2011-04-27 00:00:00,FT34WO40-3M3Q-1O25-623T-ZR982485F334,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:30,,738C793P-A5GP-8O35-C8AV-8732814373I4,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,NO,YES,NO,NO,,,,,FORBIDDEN_TO,,,,,
35497,2012 Turkcell Grup Çalışan Kampanyası,2016-05-01 00:00:00,NO,2011-04-27 00:00:00,3LQ673DC-719Z-0097-300A-0VZ782OD3L6Y,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:42,,738C793P-A5GP-8O35-C8AV-8732814373I4,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,NO,YES,NO,NO,,,,,FORBIDDEN_TO,,,,,
35497,2012 Turkcell Grup Çalışan Kampanyası,2016-05-01 00:00:00,NO,2011-04-27 00:00:00,5RXW50F9-CF74-59S6-9537-Y8SLR06XV1X2,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:40,,738C793P-A5GP-8O35-C8AV-8732814373I4,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,NO,NO,NO,NO,,,,,FORBIDDEN_TO,,,,,
25018,Ofiste Fiber Ses Paketli (Cisco),2012-07-31 00:00:00,NO,2011-04-27 00:00:00,50WJ43ZB-M459-0C05-LG27-67MT396G5C29,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:44,,,,YES,UNDEFINED,UNDEFINED,UNDEFINED,YES,,,,,DISALLOWED,,,,,
25018,Ofiste Fiber Ses Paketli (Huawei),2012-07-31 00:00:00,NO,2011-04-27 00:00:00,OHKM43Z2-5RDH-8HVK-H8HH-C49D6QO4OHK6,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:30,,,,YES,UNDEFINED,UNDEFINED,UNDEFINED,YES,,,,,DISALLOWED,,,,,
95190,Fiber Hıza Devam Ses Paketli (Huawei),2012-09-01 00:00:00,NO,2010-01-05 00:00:00,I942WF2Q-993V-7280-6101-5L8J8E6C6H42,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:20:38,,,,YES,UNDEFINED,UNDEFINED,UNDEFINED,YES,,,,,DISALLOWED,,,,,
98338,Fiber Esnek Kota (Huawei),2012-09-01 00:00:00,NO,2010-01-05 00:00:00,653E4O42-5829-771A-5224-73T486GK6536,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:20:41,,,,YES,UNDEFINED,UNDEFINED,UNDEFINED,YES,,,,,DISALLOWED,,,,,
28474,Fiber Hıza Devam Ses Paketli SNT (Cisco),2014-12-31 00:00:00,NO,2011-04-27 00:00:00,TOOY88NB-P323-1CLL-8Z7K-106GN02ITO02,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,M1,2015-05-06 04:28:26,,,,YES,,,,,,,,,DISALLOWED,,,,,
126825,Ofiste Fiber Ses Paketli (SNT)(Cisco),2018-10-13 00:00:00,NO,2011-04-27 00:00:00,86B25026-4402-5HC2-BZ44-6XH1K86886BU,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:54,,4J69GV16-L331-69W6-95SS-6X7920T3Q569,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,NO,NO,NO,NO,,,,,ALLOWED,,,,,
14170,Fiber Esnek Kota Ses Paketli (SNT)(Cisco),2014-12-31 00:00:00,NO,2011-04-27 00:00:00,E71717I2-NC00-544R-O315-1EN53Y096PRX,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:55,,,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,NO,UNDEFINED,UNDEFINED,NO,,,,,DISALLOWED,,,,,
58424,T11 Maxiphone SNTli Kampanya,2021-03-17 00:00:00,NO,2012-11-09 00:00:00,2U2LW12J-5G67-600O-G016-0151DK83C229,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:20:38,,6684SZ67-2K1J-3GM5-18SB-G99B78P1U6S4,17W28S9X-33J5-7E76-6309-1930N22C1LW2,YES,NO,UNDEFINED,NO,NO,,,,,DISALLOWED,,,,,
8746,Kotasını Aşmayan İnternet Kampanyası (SNT li),2021-03-17 00:00:00,NO,2011-04-27 00:00:00,26US3441-NEG2-353I-699B-L82Q914RA6U4,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:46,,HI56F592-36AC-6O30-KE5P-6C5BG9E6985M,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,NO,UNDEFINED,NO,NO,,,,,DISALLOWED,,,,,
95653,Huawei MediaPad S7 Tablet Kampanyası,2099-03-13 00:00:00,NO,2012-10-12 00:00:00,OJ04T810-55U5-12M4-W08S-QA9055CPOJ04,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:20:47,,T4738KU4-8N53-029V-Y751-46M7993BTU73,17W28S9X-33J5-7E76-6309-1930N22C1LW2,YES,NO,UNDEFINED,NO,NO,NO,,,,DISALLOWED,,,,,
