ID,CREATE_TIME,CREATE_USER,CREATE_USERIP,DELETED,UPDATE_TIME,UPDATE_USER,UPDATE_USERIP,VERSION,ACTIVE,ACTUAL_START_DATE,AUTO_ID,BILL_START_DATE,BILLING_CODE,CONTRACT_DETAIL_STATUS,END_DATE,IS_PART_OF_BUNDLE,OPERATION_DATE,OPERATION_DESCRIPTION,OPERATION_TYPE,QUANTITY,START_DATE,STATUS_CHANGE_DATE,TSFA_PROPOSAL_ID,TSFA_SALES_ID,COMMITED_CONTRACT_DETAIL_ID,CONTRACT_ID,CONTRACT_DETAIL_COMMITMENT,CONTRACT_DETAIL_PRICE,CUSTOMER_ID,BILLING_ACCOUNT_ID,DELIVERY_ADDRESS_ID,OFFER_ID,OFFER_RELATION_ID,PARENT_CONTRACT_DETAIL_ID,TRANSITION_CONTRACT_DETAIL_ID,MIG_STATUS,MIG_DATE,CREATE_DEALER,SALES_DATE,SERVICE_BARRING,NOBLG,TURKCELL_MSISDN,EMPTOR_FLOW_STATUS,CROSS_SALE_DEFINITION_ID,CROSS_SALE_PRIMARY_ID,IS_DISCOUNT_APPLIED,LOCK_TYPE,TRANSITION_TYPE,DEALER_TYPE,DEALER_NAME,USER_DISPLAY_NAME,CHANNEL_ID,TAKEOVER_TRANSITION_CD_ID,ORGANIZATION_ID
14E488D3-02CC-8162-A92C-2CB1BE9A74FF,2025-05-26 16:11:12,SCHEDULER,726.0.0.7,0,2025-05-26 16:11:25,SYSTEM,726.0.0.7,7,,2014-03-01 00:00:00,2817373089,2025-05-26 00:00:00,7498783192,ACT_END,,YES,,,CHANGE,1,2025-05-26 16:11:12,2025-05-26 00:00:00,,,,65F266DC-FDF3-4EA9-8D28-206AA35D1458,F00A4145-024D-4769-9AF4-E0A880A99FE2,0E178AE4-DDC1-42A2-9309-DC5C508ADB46,68400551-3E7A-8498-955B-A990A1389A83,B3189497-A3BF-8050-A9D5-DDEF43D96638,F29D22C5-07F7-8BD9-A13B-035CB7363680,D8120872-D682-47AE-8124-4358A7140B21,F9EDA2B1-7F9E-84CA-A816-B250D68FB634,9AE98301-D42D-8FBA-B675-3CD865660776,46C5B124-D570-8511-B7BA-AAECBB2A2781,,,00720.00083,2025-05-26 00:00:00,NO,,,,9BADBB8C-7064-89C8-9C2F-C5FB6733A88C,14E488D3-02CC-8162-A92C-2CB1BE9A74FF,,,,ONLINE,TURKCELL KURUMSAL A.Ş-SANAL ŞUBE,,w8e221z6-pg8h-8724-w453-wrr83w1r9458,,
F0CAAE81-872B-8AA1-B137-1EFE25736C6F,2025-05-26 16:15:54,TURKCELL_APP,726.0.0.7,0,2025-05-26 16:15:57,SYSTEM,726.0.0.7,4,,2024-06-12 00:00:00,2817373043,2025-05-26 00:00:00,7498783196,ACT_INPROGRESS,,NO,,,,1,2025-05-26 16:15:54,2025-05-26 00:00:00,,,,5B8850F1-8C8B-4062-AF5D-4F00BB3DDCC0,,36019FE5-5B99-4A19-ACC7-D8DD1BF6AF1D,2999B647-14D2-8BF2-171C-6A49B97A670F,E4ED68A2-F945-8747-ACCD-8A66D24A646F,5969C9CC-0373-8B5D-1DAE-91A4C2E085DA,4F654024-F039-4066-B37E-D7371F884E0E,D00556FB-5D27-8A73-B74C-734EF5C82894,,D8A9C653-F7B5-892C-907B-49E43695F69A,,,00720.00083,2025-05-26 00:00:00,NO,,,,,,,,,ONLINE,TURKCELL KURUMSAL A.Ş-SANAL ŞUBE,,w8e221z6-pg8h-8724-w453-wrr83w1r9458,,
76A7773D-23B0-8761-A084-5E87B848BED5,2025-05-26 16:16:47,MAYA.FCMX,726.0.0.7,0,2025-05-26 16:16:47,MAYA.FCMX,726.0.0.7,2,,,2817373057,,,ACT_INPROGRESS,,YES,,,,1,2025-05-26 16:16:47,2025-05-26 00:00:00,,,,6C7C566D-DB06-4EB0-BC13-CB9CF1F99CD3,,4DD8C2D7-1193-4848-A575-CD3DC3407B75,4CA94844-3327-8A7A-AE7F-7A7FB0B8D574,DBD0CE79-0680-86CA-A9D4-8E6920A99B21,59E9791D-ED81-8EF9-AF12-C37CEEC68149,D984D30A-8806-4D1A-8A99-FD799BDAA2AB,E53C50D9-E678-8FA3-9CD8-78EA544C2C53,501C2FF7-1562-817C-93BA-3F3B008F4E91,,,,TTB34.00012,2025-05-26 00:00:00,NO,,,,,,,,,GLOBAL,TURKCELL MERKEZ OFIS,maya.fcmx,0C6515EA-2935-8C84-BF27-29A61EBF0458,,
D59CAB03-0BDF-857F-9937-C0865FE22F17,2025-05-26 16:16:47,MAYA.FCMX,726.0.0.7,0,2025-05-26 16:16:48,MAYA.FCMX,726.0.0.7,2,,,2817373055,,,ACT_INPROGRESS,,YES,,,,1,2025-05-26 16:16:47,2025-05-26 00:00:00,,,,6C7C566D-DB06-4EB0-BC13-CB9CF1F99CD3,,BC77F510-DF8A-4520-ADE6-A302612F2BD5,4CA94844-3327-8A7A-AE7F-7A7FB0B8D574,DBD0CE79-0680-86CA-A9D4-8E6920A99B21,59E9791D-ED81-8EF9-AF12-C37CEEC68149,DA00F4C7-BAD4-472B-9AFC-F010A9B76B62,FAD14860-D469-8F2C-B04C-188CC1F8B53E,501C2FF7-1562-817C-93BA-3F3B008F4E91,,,,TTB34.00012,2025-05-26 00:00:00,NO,,,,,,,,,GLOBAL,TURKCELL MERKEZ OFIS,maya.fcmx,0C6515EA-2935-8C84-BF27-29A61EBF0458,,
18CBA388-3CE9-842D-B890-70CF33412018,2025-05-26 16:16:47,MAYA.FCMX,726.0.0.7,0,2025-05-26 16:16:59,MAYA.FCMX,726.0.0.7,3,,,2817373056,,7498783112,ACT_INPROGRESS,,YES,,,,1,2025-05-26 16:16:47,2025-05-26 00:00:00,,,,6C7C566D-DB06-4EB0-BC13-CB9CF1F99CD3,A1BCB77D-3CAB-4A36-86B0-61790F44B0C7,6B0341EA-94E0-434A-A8F5-8AEF03468F8A,4CA94844-3327-8A7A-AE7F-7A7FB0B8D574,DBD0CE79-0680-86CA-A9D4-8E6920A99B21,59E9791D-ED81-8EF9-AF12-C37CEEC68149,D23A3F80-3D85-488C-A9DF-94B4414149C0,57C23B8B-7C3A-8629-B4AF-3F66A678E150,501C2FF7-1562-817C-93BA-3F3B008F4E91,,,,TTB34.00012,2025-05-26 00:00:00,NO,,,,,,,,,GLOBAL,TURKCELL MERKEZ OFIS,maya.fcmx,0C6515EA-2935-8C84-BF27-29A61EBF0458,,
160C280B-0A99-8C5A-A98D-693B6E127346,2025-05-26 16:19:16,MAYA.FCMX,726.0.0.7,0,2025-05-26 16:19:16,MAYA.FCMX,726.0.0.7,3,,,2817373051,,7498783118,ACT_INPROGRESS,,NO,,,,1,2025-05-26 16:19:16,2025-05-26 00:00:00,,,,F701C7AF-2B77-4B1A-9E3F-3A9ADB0CE262,,B75B777A-585A-4AA7-ACCA-F304B18BA052,4CA94844-3327-8A7A-AE7F-7A7FB0B8D574,C5B36088-A33E-8166-AB7E-B641622BD231,10CCC806-4D26-803A-11E5-FF31D0AEBB4A,29B586E5-38BC-49BB-B0E6-BDC08E941B75,653C411F-2FD6-88D3-A5DF-99E7D7639C80,,,,,TTB34.00012,2025-05-26 00:00:00,NO,,,,,,,,,GLOBAL,TURKCELL MERKEZ OFIS,maya.fcmx,0C6515EA-2935-8C84-BF27-29A61EBF0458,,
C71DB861-3AFE-8B60-9E63-4DF1A2C26A6E,2025-05-26 16:19:17,SCHEDULER,726.0.0.7,0,2025-05-26 16:19:18,SCHEDULER,726.0.0.7,2,,,2817373067,,,ACT_INPROGRESS,,YES,,,NEW,1,2025-05-26 16:19:17,2025-05-26 00:00:00,,,,943E7703-8AB3-4C81-A58D-08CCE3E11F01,,F8429662-AB2D-4084-904D-C9BB80C4C49A,B223D4A3-2D32-81D9-AE61-0BBC69E1C8C5,BB7664ED-AC28-86AE-97EF-ADAE021D59F8,84327C55-E4C2-81ED-A049-1D85EFAC4B38,6E6FF7C4-6772-4838-A553-716969675F28,00F44B1F-7724-8B75-9E64-EE102AA39471,B4347987-A566-80D6-16E5-D57C8790BB02,,,,00720.00083,2025-05-26 00:00:00,NO,,,,,,,,,ONLINE,TURKCELL KURUMSAL A.Ş-SANAL ŞUBE,,w8e221z6-pg8h-8724-w453-wrr83w1r9458,,
7DFA5688-CA8B-821F-14FA-65F882BFE880,2025-05-26 16:19:18,SCHEDULER,726.0.0.7,0,2025-05-26 16:19:19,SYSTEM,726.0.0.7,4,,2018-03-16 00:00:00,2817373062,,,ACT_END,,YES,,,CHANGE,1,2025-05-26 16:19:18,2025-05-26 00:00:00,,,,943E7703-8AB3-4C81-A58D-08CCE3E11F01,B034263B-B1BC-4116-A060-6AFE6EA9E6BE,8375E43A-296B-424A-9F7F-0BA2439E8A57,B223D4A3-2D32-81D9-AE61-0BBC69E1C8C5,BB7664ED-AC28-86AE-97EF-ADAE021D59F8,84327C55-E4C2-81ED-A049-1D85EFAC4B38,863B1876-FE4E-4280-A510-90CF27B5543C,0FEAD060-FB09-8506-9F93-1A93EBFA36C8,B4347987-A566-80D6-16E5-D57C8790BB02,530E0823-365B-84F8-A143-A6B2B4B2586F,,,00720.00083,2025-05-26 00:00:00,NO,,,,,,,,,ONLINE,TURKCELL KURUMSAL A.Ş-SANAL ŞUBE,,w8e221z6-pg8h-8724-w453-wrr83w1r9458,,
24C6410D-3FFE-8616-9DC5-220D2E88895E,2025-05-26 16:19:19,MAYA.FCMX,726.0.0.7,0,2025-05-26 16:19:19,MAYA.FCMX,726.0.0.7,4,,,2817373063,,,ACT_END,,YES,,,,1,2025-05-26 16:19:19,2025-05-26 00:00:00,,,1FBCF570-4B72-8BEF-9F02-1702E34DAFFD,F701C7AF-2B77-4B1A-9E3F-3A9ADB0CE262,,BD5F691D-D1BF-4B66-A93F-4F3F685D2CD1,4CA94844-3327-8A7A-AE7F-7A7FB0B8D574,C5B36088-A33E-8166-AB7E-B641622BD231,10CCC806-4D26-803A-11E5-FF31D0AEBB4A,E0B8714F-E460-483F-90F0-0F505E414956,26BEAE15-4673-8039-AB24-18DCF6D01A53,160C280B-0A99-8C5A-A98D-693B6E127346,,,,TTB34.00012,2025-05-26 00:00:00,NO,,,,,,,,,GLOBAL,TURKCELL MERKEZ OFIS,maya.fcmx,0C6515EA-2935-8C84-BF27-29A61EBF0458,,
1FBCF570-4B72-8BEF-9F02-1702E34DAFFD,2025-05-26 16:19:19,MAYA.FCMX,726.0.0.7,0,2025-05-26 16:19:20,MAYA.FCMX,726.0.0.7,4,,,2817373068,,3601620808,ACT_END,,YES,,,,1,2025-05-26 16:19:19,2025-05-26 00:00:00,,,,F701C7AF-2B77-4B1A-9E3F-3A9ADB0CE262,,8DB40E3B-02BB-4C28-89C5-BB44A59A3145,4CA94844-3327-8A7A-AE7F-7A7FB0B8D574,C5B36088-A33E-8166-AB7E-B641622BD231,10CCC806-4D26-803A-11E5-FF31D0AEBB4A,C3E5FD48-361D-475C-A6F1-15A6AB2493B9,3F3FE5BD-8880-845F-A613-E112D5EB8B1B,160C280B-0A99-8C5A-A98D-693B6E127346,,,,TTB34.00012,2025-05-26 00:00:00,NO,,,,,,,,,GLOBAL,TURKCELL MERKEZ OFIS,maya.fcmx,0C6515EA-2935-8C84-BF27-29A61EBF0458,,
