ID,CREATE_TIME,CREATE_USER,CREATE_USERIP,DELETED,UPDATE_TIME,UPDATE_USER,UPDATE_USERIP,VERSION,BILLING_SERVICE_CODE,BILLING_TARIFF_CODE,CAMPAIGN_START_DATE,PROMO_CODE_REF_ID,VARIABLE_PRICE,CURRENCY,PAYMENT_PLAN_TEMPL_ID,PRICE_LIST_ID,MIG_STATUS,MIG_DATE,PRICE_AMOUNT
56166713-5F0E-4FBD-91D9-C2BCD58E6C86,2025-05-26 16:25:01.616,SYSTEM,127.0.0.1,0,2025-05-26 16:25:01.616,SYSTEM,127.0.0.1,0,53083,11,NULL,885219,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,334288,387325,NULL,NULL,1016.949153
999DFD61-3B4C-41F4-9B31-20376C9AAAB1,2025-05-26 16:25:01.789,SYSTEM,127.0.0.1,0,2025-05-26 16:25:01.789,SYSTEM,127.0.0.1,0,99681,1182,NULL,474643,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,206860,703215,NULL,NULL,41.666667
8D8AF954-326E-415A-ADE2-0BA450C382D3,2025-05-26 16:25:01.891,SYSTEM,127.0.0.1,0,2025-05-26 16:25:08.562,SYSTEM,127.0.0.1,1,99922,1,2025-05-26 16:25:08.000,282399,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,506016,966102,NULL,NULL,423.076923
F10B59C9-AE5F-4AD9-87ED-A7CB41E217C7,2025-05-26 16:28:18.965,SYSTEM,127.0.0.1,0,2025-05-26 16:28:18.965,SYSTEM,127.0.0.1,0,132602,1,NULL,447761,NULL,NULL,800224,355078,NULL,NULL,NULL
66619948-0497-4249-B349-379B9738B91F,2025-05-26 16:28:24.964,SYSTEM,127.0.0.1,0,2025-05-26 16:28:24.964,SYSTEM,127.0.0.1,0,99681,1182,NULL,451772,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,338831,262133,NULL,NULL,41.666667
ADCDF414-A8E9-4F2D-AB3A-91F2476DBE05,2025-05-26 16:28:25.528,SYSTEM,127.0.0.1,0,2025-05-26 16:28:25.528,SYSTEM,127.0.0.1,0,113334,1182,NULL,775130,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,287647,721041,NULL,NULL,41.666667
F40ECF5E-A994-429B-9C50-439850FAAF1A,2025-05-26 16:28:25.734,SYSTEM,127.0.0.1,0,2025-05-26 16:28:27.197,SYSTEM,127.0.0.1,1,1582,1,2023-10-02 00:00:00.000,985860,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,709173,993702,NULL,NULL,90.0
D317F465-0E95-439D-90F3-3BD1C799DEAD,2025-05-26 16:28:26.078,SYSTEM,127.0.0.1,0,2025-05-26 16:28:26.957,SYSTEM,127.0.0.1,1,3000,1177,2023-10-02 00:00:00.000,874791,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,760921,872078,NULL,NULL,1038.46154
62D81B11-84A6-4FBF-A6E0-743EC3BE3682,2025-05-26 16:28:26.545,SYSTEM,127.0.0.1,0,2025-05-26 16:28:26.545,SYSTEM,127.0.0.1,0,116039,1,NULL,955021,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,533395,731224,NULL,NULL,776.923077
965E05D6-BCE1-4E67-8AEF-A3B27DD7A8BF,2025-05-26 16:28:56.346,SYSTEM,127.0.0.1,0,2025-05-26 16:28:56.346,SYSTEM,127.0.0.1,0,131241,1,NULL,941124,NULL,NULL,857991,751959,NULL,NULL,NULL
7E951452-497B-47CB-B187-84DD88418BD7,2025-05-26 16:29:04.919,SYSTEM,127.0.0.1,0,2025-05-26 16:29:04.919,SYSTEM,127.0.0.1,0,104801,1177,NULL,118829,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,915321,269829,NULL,NULL,38.333333
B5D76BB6-CCB0-481F-A761-2260624E7D8A,2025-05-26 16:29:04.910,SYSTEM,127.0.0.1,0,2025-05-26 16:29:04.910,SYSTEM,127.0.0.1,0,104800,1180,NULL,760613,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,423886,864997,NULL,NULL,461.538462
9A0697F8-0B2F-4B5B-B1BD-8609A1A1A30C,2025-05-26 16:11:12.195,SYSTEM,127.0.0.1,0,2025-05-26 16:11:12.195,SYSTEM,127.0.0.1,0,113395,1,NULL,574763,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,447903,784167,NULL,NULL,400.0
66B1208A-4EE9-4E8D-9671-5D92BA625745,2025-05-26 16:11:12.269,SYSTEM,127.0.0.1,0,2025-05-26 16:11:12.269,SYSTEM,127.0.0.1,0,3103,3477,NULL,731502,NO,EA207DF2-F6F2-464D-ABAD-D9420C871579,989379,173081,NULL,NULL,1000.0
